,_id,user_id,group_id,status,role,createdAt,updatedAt,__v
0,661a35702625030018191bb3,661a35422625030018191bb2,660e6dc97b63830018a2adac,False,MEMBER,2024-04-13 07:34:08.521,2024-04-13 07:34:08.521,0
1,660f61bdd39092001ab8f23c,660ea36e93225d0019b6fcb0,660e6dc97b63830018a2adac,True,MEMBER,2024-04-05 02:28:13.049,2024-04-05 02:34:36.417,0
2,660f1f6cd39092001ab8f23b,63ee0f0757e2a30019a8cc57,660e6dc97b63830018a2adac,True,MEMBER,2024-04-04 21:45:16.525,2024-04-05 02:34:47.986,0
3,660ec10a93225d0019b6fcb7,660eb1027b63830018a2adb7,660e6d8693225d0019b6fcac,True,MEMBER,2024-04-04 15:02:34.982,2024-04-05 02:34:59.915,0
4,660ead097b63830018a2adb6,660e97727b63830018a2adb1,660e6dc97b63830018a2adac,True,MEMBER,2024-04-04 13:37:13.064,2024-04-04 14:28:52.441,0
5,660eace57b63830018a2adb5,660ea36e93225d0019b6fcb0,660eace57b63830018a2adb4,True,OWNER,2024-04-04 13:36:37.798,2024-04-04 13:36:37.798,0
6,660ea82e93225d0019b6fcb6,660ea6be7b63830018a2adb2,660e6dc97b63830018a2adac,True,MEMBER,2024-04-04 13:16:30.882,2024-04-04 13:21:32.083,0
7,660ea7cb7b63830018a2adb3,65f5627363dc660019e29de2,660e6dc97b63830018a2adac,True,MEMBER,2024-04-04 13:14:51.565,2024-04-04 13:16:16.014,0
8,660ea6e693225d0019b6fcb5,660ea6c493225d0019b6fcb4,660e6dc97b63830018a2adac,True,MEMBER,2024-04-04 13:11:02.268,2024-04-04 13:11:27.447,0
9,660ea5ba93225d0019b6fcb3,660ea5aa93225d0019b6fcb2,660e6dc97b63830018a2adac,True,MEMBER,2024-04-04 13:06:02.919,2024-04-04 13:11:35.650,0
10,660e98f393225d0019b6fcaf,63f75dd957e2a30019a8ce29,660e6d8693225d0019b6fcac,True,MEMBER,2024-04-04 12:11:31.729,2024-04-04 13:11:41.147,0
11,660e96ec7b63830018a2adb0,64648e8ebc4cbb0019318dbe,660e6dc97b63830018a2adac,True,MEMBER,2024-04-04 12:02:52.205,2024-04-04 12:06:38.526,0
12,660e94597b63830018a2adaf,6350b6c78841c20012d2e475,660e6dc97b63830018a2adac,True,MEMBER,2024-04-04 11:51:54.085,2024-04-04 11:59:32.069,0
13,660e6f3293225d0019b6fcae,646486e9bc4cbb0019318dbc,660e6dc97b63830018a2adac,True,MEMBER,2024-04-04 09:13:22.946,2024-04-04 11:59:40.056,0
14,660e6e717b63830018a2adae,65c6365c474b08001975980c,660e6dc97b63830018a2adac,True,MEMBER,2024-04-04 09:10:09.639,2024-04-04 11:59:44.999,0
15,660e6dc97b63830018a2adad,63e46342fa404c0019922c28,660e6dc97b63830018a2adac,True,OWNER,2024-04-04 09:07:21.339,2024-04-04 09:07:21.339,0
16,660e6d8693225d0019b6fcad,63e46342fa404c0019922c28,660e6d8693225d0019b6fcac,True,OWNER,2024-04-04 09:06:14.100,2024-04-04 09:06:14.100,0
17,660a97549123810019c1cacf,660543d75048a0001a265f35,6604fe8d5048a0001a265f32,True,MEMBER,2024-04-01 11:15:32.854,2024-04-01 11:25:37.259,0
18,660a7f665baa290018585938,660a7f4c5baa290018585937,6604fe745048a0001a265f30,True,MEMBER,2024-04-01 09:33:27.000,2024-04-01 10:56:25.445,0
19,660a7f2e5baa290018585936,63e70cc497c31000192ee62a,6604fe745048a0001a265f30,True,MEMBER,2024-04-01 09:32:30.923,2024-04-01 10:56:17.490,0
20,6607cb389cab9f0018b88a94,6607caf1e1afe8001aa2f2c0,6604fe8d5048a0001a265f32,True,MEMBER,2024-03-30 08:20:08.303,2024-03-30 08:20:43.052,0
21,6607cae1e554b6001958ab32,63a03c3420d2b00019aa19aa,6604fe745048a0001a265f30,True,MEMBER,2024-03-30 08:18:41.386,2024-03-30 08:19:08.189,0
22,6607cad5e1afe8001aa2f2bf,6607cac3e1afe8001aa2f2be,6604fe745048a0001a265f30,True,MEMBER,2024-03-30 08:18:29.024,2024-03-30 08:19:17.244,0
23,6607ca5ce554b6001958ab31,6607ca4ee1afe8001aa2f2bd,6604fe8d5048a0001a265f32,True,MEMBER,2024-03-30 08:16:28.242,2024-03-30 08:17:09.275,0
24,6607ca00e554b6001958ab30,632530e9f9418c0018549c6d,6604fe745048a0001a265f30,True,MEMBER,2024-03-30 08:14:56.415,2024-03-30 08:15:40.861,0
25,6605403d5048a0001a265f34,6605402cd9f9050018413478,6604fe8d5048a0001a265f32,True,MEMBER,2024-03-28 10:02:37.058,2024-03-28 10:03:08.980,0
26,6604fe8d5048a0001a265f33,637481536de9990019a7b0b9,6604fe8d5048a0001a265f32,True,OWNER,2024-03-28 05:22:21.380,2024-03-28 05:22:21.380,0
27,6604fe745048a0001a265f31,637481536de9990019a7b0b9,6604fe745048a0001a265f30,True,OWNER,2024-03-28 05:21:56.725,2024-03-28 05:21:56.725,0
28,660148f3738666001affb975,65da9f80970850001919d99c,65940a1d9ecfb400190f1aee,True,COACH,2024-03-25 09:50:43.489,2024-03-25 09:50:56.248,0
29,660148e6b2951a0019c6878a,65da9f80970850001919d99c,659409ff9ecfb400190f1aec,True,COACH,2024-03-25 09:50:30.770,2024-03-25 09:51:11.314,0
30,660148d88fe0d90019f268ae,65da9f80970850001919d99c,6555d7b6b72bbd0019323351,True,COACH,2024-03-25 09:50:16.507,2024-03-25 09:51:26.457,0
31,660148c88fe0d90019f268ad,65da9f80970850001919d99c,6555d7a3e69937001925666d,True,COACH,2024-03-25 09:50:00.692,2024-03-25 09:51:43.923,0
32,65dd38ee8fc8620019d5d016,65db08e17ee9d70019a6b764,65dd2f64b11c530019f23fac,True,MEMBER,2024-02-27 01:20:46.843,2024-02-27 01:29:49.457,0
33,65dd31cdb11c530019f23fae,65c81a1175a6e70018b50164,65dd2f64b11c530019f23fac,True,MEMBER,2024-02-27 00:50:21.210,2024-02-27 00:51:44.108,0
34,65dd2f64b11c530019f23fad,633b9d0c8841c20012d2de26,65dd2f64b11c530019f23fac,True,OWNER,2024-02-27 00:40:04.221,2024-02-27 00:40:04.221,0
